一个舒服	yī gè shū fú
合同法	hé tóng fǎ
合同纠纷	hé tóng jiū fēn
合同范本	hé tóng fàn běn
合同规定	hé tóng guī dìng
合同诈骗	hé tóng zhà piàn
合同额	hé tóng é
吐哈	tǔ hā
吞咽困难	tūn yàn kùn nán
含糊	hán hū
含糊不明	hán hū bù míng
含糊不清	hán hū bù qīng
含糊其词	hán hū qí cí
含糊其辞	hán hū qí cí
含糊地	hán hū de
吵吵	chāo chāo
吹头发	chuī tóu fà
吹泡泡	chuī pào pào
呵呵哈	hē hē hā
呼吸困难	hū xī kùn nán
和丽丽	hé lì lì
哈勒哈	hā lè hā
哈哈	hā hā
哈尔哈	hā ěr hā
哪个	nǎ gè
哭丧着脸	kū sàng zhe liǎn
唠叨	láo dāo
商量	shāng liáng
商量余地	shāng liáng yú dì
商量对策	shāng liáng duì cè
商量研究	shāng liáng yán jiū
啊哈	ā hā
嗳呀	āi yā
嗳声叹气	āi shēng tàn qì
嚏喷	tì pēn
嚷嚷	rāng rāng
回家路上	huí jiā lù shàng
困难	kùn nán
困难严重	kùn nán yán zhòng
困难性	kùn nán xìng
困难户	kùn nán hù
困难生	kùn nán shēng
困难群众	kùn nán qún zhòng
困难者	kùn nán zhě
困难职工	kùn nán zhí gōng
困难重重	kùn nán chóng chóng
圪节	gē jié
坂崎琢磨	bǎn qí zuó mó
埃尔哈	āi ěr hā
塔哈	tǎ hā
大声嚷嚷	dà shēng rāng rāng
大大咧咧	dà dà liē liē
大大落落	dà dà luò luò
大用处	dà yòng chù
大街坊	dà jiē fāng
大部分	dà bù fèn
大部分具	dà bù fèn jù
大部分处	dà bù fèn chù
大部分种	dà bù fèn zhǒng
太监	tài jiàn
太监急	tài jiàn jí
头发	tóu fà
头发丝	tóu fà sī
头发屑	tóu fà xiè
头发菜	tóu fà cài
奥庆哈	ào qìng hā
好些个	hǎo xiē gè
好你个	hǎo nǐ gè
好好儿	hǎo hǎo ér
委托合同	wěi tuō hé tóng
嫩葫芦	nèn hú lú
子太监	zǐ tài jiàn
孙丽丽	sūn lì lì
孙麻哈	sūn má hā
实际上	shí jì shàng
实际困难	shí jì kùn nán
宫太监	gōng tài jiàn
宫都太监	gōng dōu tài jiàn
宫里太监	gōng lǐ tài jiàn
小作坊	xiǎo zuō fáng
小太监	xiǎo tài jiàn
小迷糊	xiǎo mí hū
少部分	shǎo bù fèn
尼思哈	ní sī hā
履行合同	lǚ xíng hé tóng
岁数	suì shù
巴结	bā jié
布特哈	bù tè hā
师徒合同	shī tú hé tóng
帕尔哈	pà ěr hā
常太监	cháng tài jiàn
干太监	gān tài jiàn
度数	dù shù
开了个	kāi le gè
张太监	zhāng tài jiàn
弥撒	mí sā
弥撒曲	mí sā qǔ
当个	dāng gè
德令哈	dé lìng hā
快当	kuài dāng
念叨	niàn dāo
思量	sī liáng
想了个	xiǎng le gè
意味著	yì wèi zhe
扎挣	zhá zhēng
打了个	dǎ le gè
打哈	dǎ hā
打灯笼	dǎ dēng lóng
打着灯笼	dǎ zhe dēng lóng
打转转	dǎ zhuàn zhuàn
打量	dǎ liáng
打量出	dǎ liáng chū
打闷葫芦	dǎ mèn hú lú
承值太监	chéng zhí tài jiàn
承包合同	chéng bāo hé tóng
承奉太监	chéng fèng tài jiàn
担担面	dàn dàn miàn
拉哈	lā hā
挺舒服	tǐng shū fú
捡了个	jiǎn le gè
换衣服	huàn yī fú
掂量	diān liáng
掂量掂量	diān liáng diān liáng
掉头发	diào tóu fà
掌事太监	zhǎng shì tài jiàn
掩口葫芦	yǎn kǒu hú lú
搞了个	gǎo le gè
搭拉	dā lā
搭街坊	dā jiē fāng
撒呓挣	sā yì zhēng
撕毁合同	sī huǐ hé tóng
支棱	zhī léng
数叨	shǔ dāo
新嫩葫芦	xīn nèn hú lú
於	wū
无法估量	wú fǎ gū liáng
旧衣服	jiù yī fú
晒衣服	shài yī fú
晕糊糊	yūn hú hú
晾衣服	liàng yī fú
曹太监	cáo tài jiàn
最舒服	zuì shū fú
望弥撒	wàng mí sā
本合同	běn hé tóng
朱衣太监	zhū yī tài jiàn
李丽丽	lǐ lì lì
杜丽丽	dù lì lì
条贯部分	tiáo guàn bù fèn
杨太监	yáng tài jiàn
极端困难	jí duān kùn nán
格利哈	gé lì hā
格布哈	gé bù hā
梁太监	liáng tài jiàn
梦作坊	mèng zuō fáng
梭哈	suō hā
梳头发	shū tóu fà
槽坊	cáo fāng
模糊	mó hū
模糊不清	mó hū bù qīng
模糊化	mó hū huà
模糊地	mó hū de
模糊声	mó hū shēng
模糊学	mó hū xué
模糊性	mó hū xìng
模糊控制	mó hū kòng zhì
模糊推理	mó hū tuī lǐ
模糊数学	mó hū shù xué
模糊认识	mó hū rèn shí
模糊论	mó hū lùn
模糊起来	mó hū qǐ lái
模糊集	mó hū jí
模糊音	mó hū yīn
正琢磨	zhèng zuó mó
比量	bǐ liáng
比量齐观	bǐ liáng qí guān
毫不含糊	háo bù hán hū
毫无用处	háo wú yòng chù
气头上	qì tóu shàng
水晶灯笼	shuǐ jīng dēng lóng
水葫芦	shuǐ hú lú
没商量	méi shāng liáng
油葫芦	yóu hú lú
沿路上	yán lù shàng
法律合同	fǎ lǜ hé tóng
泡泡	pào pào
泡泡吧	pào pào bā
泡泡堂	pào pào táng
泡泡浴	pào pào yù
泡泡糖	pào pào táng
泡泡纱	pào pào shā
泡泡网	pào pào wǎng
泡泡鱼	pào pào yú
泡泡龙	pào pào lóng
洗头发	xǐ tóu fà
洗衣服	xǐ yī fú
浆糊	jiàng hú
浆衣服	jiāng yī fú
添置衣服	tiān zhì yī fú
漂亮衣服	piào liàng yī fú
灯笼	dēng lóng
灯笼椒	dēng lóng jiāo
灯笼花	dēng lóng huā
灯笼裤	dēng lóng kù
灰糊糊	huī hú hú
烂糊	làn hú
烫头发	tàng tóu fà
焦糊糊	jiāo hú hú
照葫芦画瓢	zhào hú lú huà piáo
爱克哈	ài kè hā
牙哈	yá hā
牛轧糖	niú gá táng
猪蹄膀	zhū tí páng
王丽丽	wáng lì lì
王太监	wáng tài jiàn
班大太监	bān dà tài jiàn
理头发	lǐ tóu fà
琢磨	zuó mó
琢磨不透	zuó mó bù tòu
用处	yòng chù
电动葫芦	diàn dòng hú lú
留头发	liú tóu fà
疙疙瘩瘩	gē gē da da
疙里疙瘩	gē lǐ gē da
白头发	bái tóu fà
白糊糊	bái hú hú
皇上	huáng shàng
盖丽丽	gài lì lì
直嚷嚷	zhí rāng rāng
眯缝	mī fèng
瞎琢磨	xiā zuó mó
研究商量	yán jiū shāng liáng
砥砺琢磨	dǐ lì zuó mó
确守合同	què shǒu hé tóng
碰到困难	pèng dào kùn nán
磨叨	mò dāo
私自答应	sī zì dā yìng
稠糊	chóu hú
稳当	wěn dāng
稳当性	wěn dāng xìng
穆哈	mù hā
穿衣服	chuān yī fú
窝囊	wō náng
窝囊废	wō náng fèi
窝囊气	wō náng qì
窝里窝囊	wō lǐ wō náng
童跟著	tóng gēn zhe
第十一部分	dì shí yī bù fèn
等分部分	děng fēn bù fèn
答不答应	dá bù dā yìng
答应	dā yìng
答应下来	dā yìng xià lái
签合同	qiān hé tóng
签订合同	qiān dìng hé tóng
米哈	mǐ hā
米德哈	mǐ dé hā
糊糊	hú hú
糖葫芦	táng hú lú
糨糊	jiàng hú
紧接著	jǐn jiē zhe
絮叨	xù dāo
红头发	hóng tóu fà
红灯笼	hóng dēng lóng
红衣服	hóng yī fú
纳哈	nà hā
组成部分	zǔ chéng bù fèn
细部分解	xì bù fèn jiě
经济合同	jīng jì hé tóng
给你个	gěi nǐ gè
绝大部分	jué dà bù fèn
缝衣服	féng yī fú
网易泡泡	wǎng yì pào pào
网路上	wǎng lù shàng
罪过	zuì guò
翘棱	qiáo léng
老街坊	lǎo jiē fāng
耷拉	dā lā
耽搁	dān gē
耽搁到	dān gē dào
胳肢窝	gā zhī wō
脱勒哈	tuō lè hā
脱衣服	tuō yī fú
舒尔哈	shū ěr hā
舒服	shū fú
舒服些	shū fú xiē
艾齐纳哈	ài qí nà hā
花衣服	huā yī fú
苑太监	yuàn tài jiàn
萌牙困难	méng yá kùn nán
萨丽哈	sà lì hā
萨利哈	sà lì hā
萨哈	sà hā
葫芦	hú lú
葫芦丝	hú lú sī
葫芦依样	hú lú yī yàng
葫芦兄弟	hú lú xiōng dì
葫芦头	hú lú tóu
葫芦套	hú lú tào
葫芦娃	hú lú wá
葫芦山	hú lú shān
葫芦岛	hú lú dǎo
葫芦岛市	hú lú dǎo shì
葫芦巴	hú lú bā
葫芦状	hú lú zhuàng
葫芦科	hú lú kē
葫芦花	hú lú huā
葫芦茶	hú lú chá
葫芦蔓	hú lú wàn
葫芦藓	hú lú xiǎn
葫芦藤	hú lú téng
薄荷	bò hé
薄荷叶	bò hé yè
薄荷油	bò hé yóu
薄荷精	bò hé jīng
薄荷糖	bò hé táng
薄荷脑	bò hé nǎo
薄荷醇	bò hé chún
薄荷香	bò hé xiāng
蚂螂	mā láng
血肉模糊	xuè ròu mó hū
行当	háng dàng
街坊	jiē fāng
街坊四邻	jiē fāng sì lín
街坊邻居	jiē fāng lín jū
街坊邻里	jiē fāng lín lǐ
衣服	yī fú
补钉	bǔ dìng
裁缝	cái féng
裁缝业	cái féng yè
裁缝师	cái féng shī
裁缝店	cái féng diàn
裁缝机	cái féng jī
裁衣服	cái yī fú
裘丽丽	qiú lì lì
西尔哈	xī ěr hā
西萨哈	xī sà hā
西葫芦	xī hú lú
要式合同	yào shì hé tóng
解决困难	jiě jué kùn nán
解除合同	jiě chú hé tóng
订合同	dìng hé tóng
诸多困难	zhū duō kùn nán
诺成合同	nuò chéng hé tóng
豁拳	huá quán
貉	mò
贝恩哈	bèi ēn hā
财政困难	cái zhèng kùn nán
贴身衣服	tiē shēn yī fú
费思量	fèi sī liáng
赔本赚吆喝	péi běn zhuàn yāo hè
赞哈	zàn hā
路上	lù shàng
路上行人	lù shàng xíng rén
路上车	lù shàng chē
蹄膀	tí páng
轧差	gá chā
轧账	gá zhàng
轧轧	gá gá
轧轧声	gá gá shēng
转包合同	zhuǎn bāo hé tóng
转文	zhuǎi wén
转转	zhuàn zhuàn
转转看	zhuàn zhuàn kàn
这个	zhè gè
这部分	zhè bù fèn
迷糊	mí hū
追思弥撒	zhuī sī mí sā
通过商量	tōng guò shāng liáng
遇到困难	yù dào kùn nán
遵守合同	zūn shǒu hé tóng
那个	nà gè
那个游戏	nà gè yóu xì
那太监	nà tài jiàn
那小太监	nà xiǎo tài jiàn
郝太监	hǎo tài jiàn
部分	bù fèn
部分冠	bù fèn guàn
部分加电	bù fèn jiā diàn
部分合子	bù fèn hé zǐ
部分合成	bù fèn hé chéng
郭丽丽	guō lì lì
酌量	zhuó liáng
重合同	zhòng hé tóng
重复部分	chóng fù bù fèn
重重困难	chóng chóng kùn nán
野葫芦引	yě hú lú yǐn
金葫芦	jīn hú lú
锦灯笼	jǐn dēng lóng
闷葫芦	mèn hú lú
阿哈	ā hā
阿姆哈	ā mǔ hā
阿富哈	ā fù hā
阿尔哈	ā ěr hā
阿尔摩哈	ā ěr mó hā
阿思哈	ā sī hā
阿斯哈	ā sī hā
陈丽丽	chén lì lì
陈太监	chén tài jiàn
陶作坊	táo zuō fāng
随口答应	suí kǒu dā yìng
集体合同	jí tǐ hé tóng
面糊糊	miàn hú hú
韩太监	hán tài jiàn
顺口答应	shùn kǒu dā yìng
顺当	shùn dàng
风流罪过	fēng liú zuì guò
饮水困难	yǐn shuǐ kùn nán
马尼哈	mǎ ní hā
马斯哈	mǎ sī hā
马监太监	mǎ jiān tài jiàn
马路上	mǎ lù shàng
骂咧	mà liē
魏太监	wèi tài jiàn
鲁卜哈	lǔ bǔ hā
鲁梅哈	lǔ méi hā
麦蒙哈	mài méng hā
麻麻糊糊	má má hú hú
黄头发	huáng tóu fà
黄衣服	huáng yī fú
黏糊	nián hū
黑作坊	hēi zuō fāng
黑头发	hēi tóu fà
黑衣服	hēi yī fú
